environment,location,dish,service,price
0.3814723,0.0385748,0.3780687,0.1093597,0.0925245
0.201632,0.1847874,0.3051908,0.0885634,0.2198263
0.334304,0.0757774,0.3303967,0.0490936,0.2104282
0.1118904,0.1385471,0.2930051,0.3833786,0.0731788
0.1900512,0.1397233,0.107761,0.1271045,0.4353599
0.4450699,0.1133442,0.2490615,0.1003223,0.0922022
0.2379485,0.0943742,0.3539818,0.1882345,0.125461
0.2223403,0.0709521,0.3684457,0.168758,0.1695039
0.1239277,0.0502601,0.3100318,0.1590434,0.356737
0.2317467,0.1526639,0.1860075,0.3432811,0.0863009
0.479439,0.1304169,0.1073917,0.1339385,0.1488138
0.265603,0.1294743,0.1985086,0.1755728,0.2308414
0.3500069,0.0834356,0.2111702,0.2497933,0.1055939
0.106262,0.0497522,0.2040817,0.1291302,0.510774
0.2032349,0.1121619,0.1408845,0.3754837,0.168235
0.1633298,0.0835967,0.2260805,0.254012,0.272981
0.2522555,0.1230886,0.2167979,0.2415121,0.1663459
0.3395585,0.0274148,0.2191466,0.1917247,0.2221553
0.2298826,0.0511796,0.3250682,0.1633372,0.2305324
0.4498285,0.0574367,0.2787481,0.1514043,0.0625824
0.616392,0.0258926,0.1097723,0.1832971,0.064646
0.3266882,0.2078785,0.2918389,0.1555214,0.0180731
0.705896,0.0412659,0.1478425,0.0421772,0.0628183
0.1552766,0.073575,0.2770263,0.2904255,0.2036967
0.181156,0.0796114,0.4985272,0.1212195,0.1194859
